Tuition Balance,Payment History,Payment Plan Status,Financial Aid Status,FAFSA Submission Date,FAFSA Status,Scholarship Awards,Grant Awards,Loan Type,Loan Amount,Loan Provider,Disbursement Dates,Refund Status,Billing Address,Third-party Sponsor Info,Work-study Hours,Work-study Wages,Financial Aid Advisor,Aid Eligibility,Dependency Status,Estimated Family Contribution (EFC),Need-based Aid Awarded,Merit-based Aid Awarded,Total Aid Awarded,Remaining Aid,Overpayment Flag,Financial Aid Appeals,Cost of Attendance,Direct vs Indirect Costs,In-State/Out-of-State Tuition Rate,Billing Due Dates,Outstanding Balance,Fees Paid,Late Fee Charges,Account Hold Status,Payment Method,Bank Info (if refunds via ACH),1098-T Form Info,Student Employment Income,Aid Disbursement Schedule,Parent PLUS Loan Info,Private Loan Info,Financial Literacy Session Completion,Satisfactory Academic Progress (SAP) Status,Financial Hardship Flag,Payment Receipt Uploads,Employer Tuition Reimbursement Participation,Veteran Benefits Info,GI Bill Info,Financial Need Calculation
6100,Partial payment,Active,Approved,1/20/23,Complete,500,0,Parent PLUS,3150,Wells Fargo,9/11/23,Issued,"1011 Main St, New York, NY 10021",N/A,1.5,150,Alice Johnson,FALSE,Dependent,2350,1220,610,38355,38340,FALSE,None,21100,Direct,In-State,8/25/23,1165,255,50,Hold,Check,N/A,form1098T_candidate11.pdf,6100,3/25/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate11.pdf,FALSE,None,N/A,1720
6200,Paid in full,Not Enrolled,Pending,1/21/23,Incomplete,1000,300,None,0,N/A,9/12/23,Pending,"1012 Main St, Los Angeles, CA 90022",N/A,1.5,187.5,Bob Smith,TRUE,Independent,2400,1240,620,38385,38390,FALSE,None,21200,Indirect,Out-of-State,8/26/23,1180,260,0,Suspended,Cash,N/A,form1098T_candidate12.pdf,6200,3/26/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate12.pdf,FALSE,None,N/A,1740
6300,Partial payment,Inactive,Denied,1/22/23,Pending,0,0,Federal,3350,Bank of America,9/13/23,None,"1013 Main St, Chicago, IL 60613",N/A,1.5,225,Carol Davis,FALSE,Dependent,2450,1260,630,38415,38440,FALSE,None,21300,Direct,In-State,8/27/23,1195,265,50,Clear,Credit Card,N/A,form1098T_candidate13.pdf,6300,3/27/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate13.pdf,FALSE,None,N/A,1760
6400,Paid in full,Active,Approved,1/23/23,Complete,500,300,Private,3400,Chase,9/14/23,Issued,"1014 Main St, Houston, TX 77014",N/A,1.5,112.5,David Miller,TRUE,Independent,2500,1280,640,38445,38490,FALSE,None,21400,Indirect,Out-of-State,8/28/23,1210,270,0,Hold,Bank Transfer,"Wells Fargo, ****1014",form1098T_candidate14.pdf,6400,3/28/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate14.pdf,FALSE,None,N/A,1780
6500,Partial payment,Not Enrolled,Pending,1/24/23,Incomplete,1000,0,Parent PLUS,3500,Wells Fargo,9/15/23,Pending,"1015 Main St, Phoenix, AZ 85015",Acme Scholarship,1.5,150,Evelyn Garcia,FALSE,Dependent,2550,1300,650,38475,38540,FALSE,Appeal Submitted,21500,Direct,In-State,8/29/23,1225,275,50,Suspended,Check,N/A,form1098T_candidate15.pdf,6500,3/29/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate15.pdf,FALSE,None,N/A,1800
6600,Paid in full,Active,Approved,1/25/23,Complete,500,300,Federal,3550,Bank of America,9/16/23,Issued,"1016 Main St, New York, NY 10031",N/A,1.5,112.5,Alice Johnson,TRUE,Independent,2600,1320,660,38505,38570,FALSE,None,21600,Indirect,Out-of-State,8/30/23,1240,280,0,Clear,Credit Card,N/A,form1098T_candidate16.pdf,6600,3/30/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate16.pdf,FALSE,None,N/A,1820
6700,Partial payment,Not Enrolled,Pending,1/26/23,Incomplete,1000,0,Private,3600,Chase,9/17/23,Pending,"1017 Main St, Los Angeles, CA 90032",N/A,1.5,150,Bob Smith,FALSE,Dependent,2650,1340,670,38535,38600,FALSE,None,21700,Direct,In-State,8/31/23,1255,285,50,Hold,Bank Transfer,"Wells Fargo, ****1017",form1098T_candidate17.pdf,6700,3/31/23,None,None,TRUE,Satisfactory,TRUE,receipt_candidate17.pdf,FALSE,None,N/A,1840
6800,Paid in full,Inactive,Denied,1/27/23,Pending,0,300,None,0,N/A,9/18/23,Issued,"1018 Main St, Chicago, IL 60618",N/A,1.5,187.5,Carol Davis,TRUE,Independent,2700,1360,680,38565,38625,FALSE,None,21800,Indirect,Out-of-State,9/1/23,1270,290,0,Suspended,Cash,N/A,form1098T_candidate18.pdf,6800,4/1/23,Approved,None,TRUE,Unsatisfactory,FALSE,receipt_candidate18.pdf,FALSE,None,N/A,1860
6900,Partial payment,Active,Approved,1/28/23,Complete,500,0,Federal,3950,Bank of America,9/19/23,None,"1019 Main St, Houston, TX 77019",N/A,1.5,225,David Miller,FALSE,Dependent,2750,1380,690,38595,38660,FALSE,None,21900,Direct,In-State,9/2/23,1285,295,50,Clear,Credit Card,N/A,form1098T_candidate19.pdf,6900,4/2/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate19.pdf,FALSE,None,N/A,1880
7000,Paid in full,Not Enrolled,Pending,1/29/23,Incomplete,1000,300,Private,4000,Chase,9/20/23,Pending,"1020 Main St, Phoenix, AZ 85020",Acme Scholarship,1.5,112.5,Evelyn Garcia,TRUE,Independent,2800,1400,700,38625,38695,TRUE,None,22000,Indirect,Out-of-State,9/3/23,1300,300,0,Hold,Bank Transfer,"Wells Fargo, ****1020",form1098T_candidate20.pdf,7000,4/3/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate20.pdf,TRUE,Eligible,N/A,1900
7100,Partial payment,Active,Approved,1/30/23,Complete,500,0,Parent PLUS,4150,Wells Fargo,9/21/23,Issued,"1021 Main St, New York, NY 10041",N/A,1.5,150,Alice Johnson,FALSE,Dependent,2850,1420,710,38655,38740,FALSE,None,22100,Direct,In-State,9/4/23,1315,305,50,Clear,Check,N/A,form1098T_candidate21.pdf,7100,4/4/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate21.pdf,FALSE,None,N/A,1920
7200,Paid in full,Not Enrolled,Pending,1/31/23,Incomplete,1000,300,None,0,N/A,9/22/23,Pending,"1022 Main St, Los Angeles, CA 90042",N/A,1.5,187.5,Bob Smith,TRUE,Independent,2900,1440,720,38685,38775,FALSE,None,22200,Indirect,Out-of-State,9/5/23,1330,310,0,Hold,Cash,N/A,form1098T_candidate22.pdf,7200,4/5/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate22.pdf,FALSE,None,N/A,1940
7300,Partial payment,Inactive,Denied,2/1/23,Pending,0,0,Federal,4350,Bank of America,9/23/23,None,"1023 Main St, Chicago, IL 60623",N/A,1.5,225,Carol Davis,FALSE,Dependent,2950,1460,730,38715,38810,FALSE,None,22300,Direct,In-State,9/6/23,1345,315,50,Suspended,Credit Card,N/A,form1098T_candidate23.pdf,7300,4/6/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate23.pdf,FALSE,None,N/A,1960
7400,Paid in full,Active,Approved,2/2/23,Complete,500,300,Private,4400,Chase,9/24/23,Issued,"1024 Main St, Houston, TX 77024",N/A,1.5,112.5,David Miller,TRUE,Independent,3000,1480,740,38745,38840,FALSE,None,22400,Indirect,Out-of-State,9/7/23,1360,320,0,Clear,Bank Transfer,"Wells Fargo, ****1024",form1098T_candidate24.pdf,7400,4/7/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate24.pdf,FALSE,None,N/A,1980
7500,Partial payment,Not Enrolled,Pending,2/3/23,Incomplete,1000,0,Parent PLUS,4550,Wells Fargo,9/25/23,Pending,"1025 Main St, Phoenix, AZ 85025",Acme Scholarship,1.5,150,Evelyn Garcia,FALSE,Dependent,3050,1500,750,38775,38875,FALSE,None,22500,Direct,In-State,9/8/23,1375,325,50,Hold,Check,N/A,form1098T_candidate25.pdf,7500,4/8/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate25.pdf,FALSE,None,N/A,2000
7600,Paid in full,Active,Approved,2/4/23,Complete,500,300,Federal,4650,Bank of America,9/26/23,Issued,"1026 Main St, New York, NY 10051",N/A,1.5,112.5,Alice Johnson,TRUE,Independent,3100,1520,760,38805,38900,FALSE,None,22600,Indirect,Out-of-State,9/9/23,1390,330,0,Clear,Credit Card,N/A,form1098T_candidate26.pdf,7600,4/9/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate26.pdf,FALSE,None,N/A,2020
7700,Partial payment,Not Enrolled,Pending,2/5/23,Incomplete,1000,0,Private,4700,Chase,9/27/23,Pending,"1027 Main St, Los Angeles, CA 90052",N/A,1.5,150,Bob Smith,FALSE,Dependent,3150,1540,770,38835,38950,FALSE,None,22700,Direct,In-State,9/10/23,1405,335,50,Hold,Bank Transfer,"Wells Fargo, ****1027",form1098T_candidate27.pdf,7700,4/10/23,None,None,TRUE,Satisfactory,TRUE,receipt_candidate27.pdf,FALSE,None,N/A,2040
7800,Paid in full,Inactive,Denied,2/6/23,Pending,0,300,None,0,N/A,9/28/23,Issued,"1028 Main St, Chicago, IL 60628",N/A,1.5,187.5,Carol Davis,TRUE,Independent,3200,1560,780,38865,39000,FALSE,None,22800,Indirect,Out-of-State,9/11/23,1420,340,0,Suspended,Cash,N/A,form1098T_candidate28.pdf,7800,4/11/23,Approved,None,TRUE,Unsatisfactory,FALSE,receipt_candidate28.pdf,FALSE,None,N/A,2060
7900,Partial payment,Active,Approved,2/7/23,Complete,500,0,Federal,5050,Bank of America,9/29/23,None,"1029 Main St, Houston, TX 77029",N/A,1.5,225,David Miller,FALSE,Dependent,3250,1580,790,38895,39050,FALSE,None,22900,Direct,In-State,9/12/23,1435,345,50,Clear,Credit Card,N/A,form1098T_candidate29.pdf,7900,4/12/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate29.pdf,FALSE,None,N/A,2080
8000,Paid in full,Not Enrolled,Pending,2/8/23,Incomplete,1000,300,Private,5100,Chase,9/30/23,Pending,"1030 Main St, Phoenix, AZ 85030",Acme Scholarship,1.5,112.5,Evelyn Garcia,TRUE,Independent,3300,1600,800,38925,39100,TRUE,None,23000,Indirect,Out-of-State,9/13/23,1450,350,0,Hold,Bank Transfer,"Wells Fargo, ****1030",form1098T_candidate30.pdf,8000,4/13/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate30.pdf,TRUE,Eligible,N/A,2100
8100,Partial payment,Active,Approved,2/9/23,Complete,500,0,Parent PLUS,5250,Wells Fargo,10/1/23,Issued,"1031 Main St, New York, NY 10061",N/A,1.5,150,Alice Johnson,FALSE,Dependent,3350,1620,810,38955,39150,FALSE,None,23100,Direct,In-State,9/14/23,1465,355,50,Clear,Check,N/A,form1098T_candidate31.pdf,8100,4/14/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate31.pdf,FALSE,None,N/A,2120
8200,Paid in full,Not Enrolled,Pending,2/10/23,Incomplete,1000,300,None,0,N/A,10/2/23,Pending,"1032 Main St, Los Angeles, CA 90062",N/A,1.5,187.5,Bob Smith,TRUE,Independent,3400,1640,820,38985,39200,FALSE,None,23200,Indirect,Out-of-State,9/15/23,1480,360,0,Hold,Cash,N/A,form1098T_candidate32.pdf,8200,4/15/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate32.pdf,FALSE,None,N/A,2140
8300,Partial payment,Inactive,Denied,2/11/23,Pending,0,0,Federal,5450,Bank of America,10/3/23,None,"1033 Main St, Chicago, IL 60633",N/A,1.5,225,Carol Davis,FALSE,Dependent,3450,1660,830,39015,39250,FALSE,None,23300,Direct,In-State,9/16/23,1495,365,50,Suspended,Credit Card,N/A,form1098T_candidate33.pdf,8300,4/16/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate33.pdf,FALSE,None,N/A,2160
8400,Paid in full,Active,Approved,2/12/23,Complete,500,300,Private,5500,Chase,10/4/23,Issued,"1034 Main St, Houston, TX 77034",N/A,1.5,112.5,David Miller,TRUE,Independent,3500,1680,840,39045,39300,FALSE,None,23400,Indirect,Out-of-State,9/17/23,1510,370,0,Clear,Bank Transfer,"Wells Fargo, ****1034",form1098T_candidate34.pdf,8400,4/17/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate34.pdf,FALSE,None,N/A,2180
8500,Partial payment,Not Enrolled,Pending,2/13/23,Incomplete,1000,0,Parent PLUS,5650,Wells Fargo,10/5/23,Pending,"1035 Main St, Phoenix, AZ 85035",Acme Scholarship,1.5,150,Evelyn Garcia,FALSE,Dependent,3550,1700,850,39075,39350,FALSE,None,23500,Direct,In-State,9/18/23,1525,375,50,Hold,Check,N/A,form1098T_candidate35.pdf,8500,4/18/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate35.pdf,FALSE,None,N/A,2200
8600,Paid in full,Active,Approved,2/14/23,Complete,500,300,Federal,5750,Bank of America,10/6/23,Issued,"1036 Main St, New York, NY 10071",N/A,1.5,112.5,Alice Johnson,TRUE,Independent,3600,1720,860,39105,39400,FALSE,None,23600,Indirect,Out-of-State,9/19/23,1540,380,0,Clear,Credit Card,N/A,form1098T_candidate36.pdf,8600,4/19/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate36.pdf,FALSE,None,N/A,2220
8700,Partial payment,Not Enrolled,Pending,2/15/23,Incomplete,1000,0,Private,5800,Chase,10/7/23,Pending,"1037 Main St, Los Angeles, CA 90072",N/A,1.5,150,Bob Smith,FALSE,Dependent,3650,1740,870,39135,39450,FALSE,None,23700,Direct,In-State,9/20/23,1555,385,50,Hold,Bank Transfer,"Wells Fargo, ****1037",form1098T_candidate37.pdf,8700,4/20/23,None,None,TRUE,Satisfactory,TRUE,receipt_candidate37.pdf,FALSE,None,N/A,2240
8800,Paid in full,Inactive,Denied,2/16/23,Pending,0,300,None,0,N/A,10/8/23,Issued,"1038 Main St, Chicago, IL 60638",N/A,1.5,187.5,Carol Davis,TRUE,Independent,3700,1760,880,39165,39500,FALSE,None,23800,Direct,In-State,9/21/23,1570,390,0,Suspended,Cash,N/A,form1098T_candidate38.pdf,8800,4/21/23,Approved,None,TRUE,Unsatisfactory,FALSE,receipt_candidate38.pdf,FALSE,None,N/A,2260
8900,Partial payment,Active,Approved,2/17/23,Complete,500,0,Federal,6150,Bank of America,10/9/23,None,"1039 Main St, Houston, TX 77039",N/A,1.5,225,David Miller,FALSE,Dependent,3750,1780,890,39195,39550,FALSE,None,23900,Direct,In-State,9/22/23,1585,395,50,Clear,Credit Card,N/A,form1098T_candidate39.pdf,8900,4/22/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate39.pdf,FALSE,None,N/A,2280
9000,Paid in full,Not Enrolled,Pending,2/18/23,Incomplete,1000,300,Private,6200,Chase,10/10/23,Pending,"1040 Main St, Phoenix, AZ 85040",Acme Scholarship,1.5,112.5,Evelyn Garcia,TRUE,Independent,3800,1800,900,39225,39600,TRUE,None,24000,Indirect,Out-of-State,9/23/23,1600,400,0,Hold,Bank Transfer,"Wells Fargo, ****1040",form1098T_candidate40.pdf,9000,4/23/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate40.pdf,TRUE,Eligible,N/A,2300
9100,Partial payment,Active,Approved,2/19/23,Complete,500,0,Parent PLUS,6350,Wells Fargo,10/11/23,Issued,"1041 Main St, New York, NY 10081",N/A,1.5,150,Alice Johnson,FALSE,Dependent,3850,1820,910,39255,39650,FALSE,None,24100,Direct,In-State,9/24/23,1615,405,50,Clear,Check,N/A,form1098T_candidate41.pdf,9100,4/24/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate41.pdf,FALSE,None,N/A,2320
9200,Paid in full,Not Enrolled,Pending,2/20/23,Incomplete,1000,300,None,0,N/A,10/12/23,Pending,"1042 Main St, Los Angeles, CA 90082",N/A,1.5,187.5,Bob Smith,TRUE,Independent,3900,1840,920,39285,39700,FALSE,None,24200,Indirect,Out-of-State,9/25/23,1630,410,0,Hold,Cash,N/A,form1098T_candidate42.pdf,9200,4/25/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate42.pdf,FALSE,None,N/A,2340
9300,Partial payment,Inactive,Denied,2/21/23,Pending,0,0,Federal,6550,Bank of America,10/13/23,None,"1043 Main St, Chicago, IL 60643",N/A,1.5,225,Carol Davis,FALSE,Dependent,3950,1860,930,39315,39750,FALSE,None,24300,Direct,In-State,9/26/23,1645,415,50,Suspended,Credit Card,N/A,form1098T_candidate43.pdf,9300,4/26/23,Approved,None,FALSE,Satisfactory,TRUE,receipt_candidate43.pdf,FALSE,None,N/A,2360
9400,Paid in full,Active,Approved,2/22/23,Complete,500,300,Private,6600,Chase,10/14/23,Issued,"1044 Main St, Houston, TX 77044",N/A,1.5,112.5,David Miller,TRUE,Independent,4000,1880,940,39345,39800,FALSE,None,24400,Indirect,Out-of-State,9/27/23,1660,420,0,Clear,Bank Transfer,"Wells Fargo, ****1044",form1098T_candidate44.pdf,9400,4/27/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate44.pdf,FALSE,None,N/A,2380
9500,Partial payment,Not Enrolled,Pending,2/23/23,Incomplete,1000,0,Parent PLUS,6750,Wells Fargo,10/15/23,Pending,"1045 Main St, Phoenix, AZ 85045",Acme Scholarship,1.5,150,Evelyn Garcia,FALSE,Dependent,4050,1900,950,39375,39850,FALSE,None,24500,Direct,In-State,9/28/23,1675,425,50,Hold,Check,N/A,form1098T_candidate45.pdf,9500,4/28/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate45.pdf,FALSE,None,N/A,2400
9600,Paid in full,Active,Approved,2/24/23,Complete,500,300,Federal,6850,Bank of America,10/16/23,Issued,"1046 Main St, New York, NY 10091",N/A,1.5,112.5,Alice Johnson,TRUE,Independent,4100,1920,960,39405,39900,FALSE,None,24600,Indirect,Out-of-State,9/29/23,1690,430,0,Clear,Credit Card,N/A,form1098T_candidate46.pdf,9600,4/29/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate46.pdf,FALSE,None,N/A,2420
9700,Partial payment,Not Enrolled,Pending,2/25/23,Incomplete,1000,0,Private,6900,Chase,10/17/23,Pending,"1047 Main St, Los Angeles, CA 90092",N/A,1.5,150,Bob Smith,FALSE,Dependent,4150,1940,970,39435,39950,FALSE,None,24700,Direct,In-State,9/30/23,1705,435,50,Hold,Bank Transfer,"Wells Fargo, ****1047",form1098T_candidate47.pdf,9700,4/30/23,None,None,TRUE,Satisfactory,TRUE,receipt_candidate47.pdf,FALSE,None,N/A,2440
9800,Paid in full,Inactive,Denied,2/26/23,Pending,0,300,None,0,N/A,10/18/23,Issued,"1048 Main St, Chicago, IL 60648",N/A,1.5,187.5,Carol Davis,TRUE,Independent,4200,1960,980,39465,40000,FALSE,None,24800,Direct,In-State,10/1/23,1720,440,0,Suspended,Cash,N/A,form1098T_candidate48.pdf,9800,5/1/23,Approved,None,TRUE,Unsatisfactory,FALSE,receipt_candidate48.pdf,FALSE,None,N/A,2460
9900,Partial payment,Active,Approved,2/27/23,Complete,500,0,Federal,7250,Bank of America,10/19/23,None,"1049 Main St, Houston, TX 77049",N/A,1.5,225,David Miller,FALSE,Dependent,4250,1980,990,39495,40050,FALSE,None,24900,Direct,In-State,10/2/23,1735,445,50,Clear,Credit Card,N/A,form1098T_candidate49.pdf,9900,5/2/23,None,None,FALSE,Satisfactory,FALSE,receipt_candidate49.pdf,FALSE,None,N/A,2480
10000,Paid in full,Not Enrolled,Pending,2/28/23,Incomplete,1000,300,Private,7300,Chase,10/20/23,Pending,"1050 Main St, Phoenix, AZ 85050",Acme Scholarship,1.5,112.5,Evelyn Garcia,TRUE,Independent,4300,2000,1000,39525,40100,TRUE,None,25000,Indirect,Out-of-State,10/3/23,1750,450,0,Hold,Bank Transfer,"Wells Fargo, ****1050",form1098T_candidate50.pdf,10000,5/3/23,None,None,TRUE,Unsatisfactory,FALSE,receipt_candidate50.pdf,FALSE,None,N/A,2500
